fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
mx81.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
ocn.ad.jp;smtp.ocn.ne.jp:465;%EMAILADDRESS%
mx7.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx3.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
ocn.ne.jp;smtp.ocn.ne.jp:465;%EMAILADDRESS%
orange.plala.or.jp;orange.plala.or.jp:587;%EMAILLOCALPART%
olive.plala.or.jp;olive.plala.or.jp:587;%EMAILLOCALPART%
mx41.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
orchid.plala.or.jp;orchid.plala.or.jp:587;%EMAILLOCALPART%
opal.plala.or.jp;opal.plala.or.jp:587;%EMAILLOCALPART%
mx9.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
nsat.jp;mail.nsat.jp:587;%EMAILADDRESS%
outlook.jp;smtp.office365.com:587;%EMAILLOCALPART%
peach.plala.or.jp;peach.plala.or.jp:587;%EMAILLOCALPART%
po.gunmanet.ne.jp;po.wind.ne.jp:587;%EMAILLOCALPART%
palette.plala.or.jp;palette.plala.or.jp:587;%EMAILLOCALPART%
po.wind.jp;po.wind.ne.jp:587;%EMAILLOCALPART%
parabox.or.jp;smtp.parabox.or.jp:25;%EMAILLOCALPART%
po.wind.ne.jp;po.wind.ne.jp:587;%EMAILLOCALPART%
plum.plala.or.jp;plum.plala.or.jp:587;%EMAILLOCALPART%
po.wind.co.jp;po.wind.ne.jp:587;%EMAILLOCALPART%
po.gunmanet.or.jp;po.wind.ne.jp:587;%EMAILLOCALPART%
pp.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
polka.plala.or.jp;polka.plala.or.jp:587;%EMAILLOCALPART%
purple.plala.or.jp;purple.plala.or.jp:587;%EMAILLOCALPART%
rainbow.plala.or.jp;rainbow.plala.or.jp:587;%EMAILLOCALPART%
red.plala.or.jp;red.plala.or.jp:587;%EMAILLOCALPART%
rondo.plala.or.jp;rondo.plala.or.jp:587;%EMAILLOCALPART%
rose.plala.or.jp;rose.plala.or.jp:587;%EMAILLOCALPART%
rmail.plala.or.jp;rmail.plala.or.jp:587;%EMAILLOCALPART%
rouge.plala.or.jp;rouge.plala.or.jp:587;%EMAILLOCALPART%
ruby.plala.or.jp;ruby.plala.or.jp:587;%EMAILLOCALPART%
rr.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
sea.plala.or.jp;sea.plala.or.jp:587;%EMAILLOCALPART%
silver.plala.or.jp;silver.plala.or.jp:587;%EMAILLOCALPART%
smail.plala.or.jp;smail.plala.or.jp:587;%EMAILLOCALPART%
sky.plala.or.jp;sky.plala.or.jp:587;%EMAILLOCALPART%
so.wind.jp;so.wind.ne.jp:587;%EMAILLOCALPART%
serenade.plala.or.jp;serenade.plala.or.jp:587;%EMAILLOCALPART%
snow.plala.or.jp;snow.plala.or.jp:587;%EMAILLOCALPART%
silk.plala.or.jp;silk.plala.or.jp:587;%EMAILLOCALPART%
suite.plala.or.jp;suite.plala.or.jp:587;%EMAILLOCALPART%
symphony.plala.or.jp;symphony.plala.or.jp:587;%EMAILLOCALPART%
so.wind.ne.jp;so.wind.ne.jp:587;%EMAILLOCALPART%
sonata.plala.or.jp;sonata.plala.or.jp:587;%EMAILLOCALPART%
ss.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
taupe.plala.or.jp;taupe.plala.or.jp:587;%EMAILLOCALPART%
sepia.plala.or.jp;sepia.plala.or.jp:587;%EMAILLOCALPART%
toccata.plala.or.jp;toccata.plala.or.jp:587;%EMAILLOCALPART%
tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
topaz.plala.or.jp;topaz.plala.or.jp:587;%EMAILLOCALPART%
trio.plala.or.jp;trio.plala.or.jp:587;%EMAILLOCALPART%
tmail.plala.or.jp;tmail.plala.or.jp:587;%EMAILLOCALPART%
vp.tiki.ne.jp;vs.tiki.ne.jp:587;%EMAILADDRESS%
umail.plala.or.jp;umail.plala.or.jp:587;%EMAILLOCALPART%
